alcohol,chlorides_log,citric acid,density,fixed acidity_log,free sulfur dioxide,pH,quality,red,residual sugar_log,sulphates_log,total sulfur dioxide,volatile acidity_log
9.4,-2.577021938695806,0.0,0.9978,2.0014800002101243,11.0,3.51,5,1,0.6418538861723947,-0.579818495252942,34.0,-0.35667494393873245
9.4,-3.101092789211817,0.0,0.9978,1.9459101490553132,11.0,3.51,5,1,3.0301337002713233,-0.7985076962177716,34.0,-1.3093333199837622
8.8,-2.577021938695806,0.36,1.001,2.0014800002101243,45.0,3.0,6,0,0.6418538861723947,-0.579818495252942,170.0,-0.35667494393873245
8.8,-3.101092789211817,0.36,1.001,1.9459101490553132,45.0,3.0,6,0,3.0301337002713233,-0.7985076962177716,170.0,-1.3093333199837622
9.8,-2.322787800311565,0.0,0.9968,2.0541237336955462,25.0,3.2,5,1,0.9555114450274363,-0.3856624808119846,67.0,-0.12783337150988489
9.8,-3.0159349808715104,0.0,0.9968,1.840549633397487,25.0,3.2,5,1,0.47000362924573563,-0.7133498878774648,67.0,-1.2039728043259361
9.5,-2.322787800311565,0.34,0.9940000000000001,2.0541237336955462,14.0,3.3,6,0,0.9555114450274363,-0.3856624808119846,132.0,-0.12783337150988489
9.5,-3.0159349808715104,0.34,0.9940000000000001,1.840549633397487,14.0,3.3,6,0,0.47000362924573563,-0.7133498878774648,132.0,-1.2039728043259361
9.8,-2.385966701933097,0.04,0.997,2.0541237336955462,15.0,3.26,5,1,0.8329091229351039,-0.4307829160924542,54.0,-0.2744368457017603
9.8,-2.995732273553991,0.04,0.997,2.0918640616783932,15.0,3.26,5,1,1.9315214116032138,-0.8209805520698302,54.0,-1.2729656758128873
10.1,-2.385966701933097,0.4,0.9951,2.0541237336955462,30.0,3.26,6,0,0.8329091229351039,-0.4307829160924542,97.0,-0.2744368457017603
10.1,-2.995732273553991,0.4,0.9951,2.0918640616783932,30.0,3.26,6,0,1.9315214116032138,-0.8209805520698302,97.0,-1.2729656758128873
9.8,-2.5902671654458267,0.56,0.998,2.4159137783010487,17.0,3.16,6,1,0.6418538861723947,-0.5447271754416722,60.0,-1.2729656758128873
9.8,-2.8473122684357177,0.56,0.998,1.9740810260220096,17.0,3.16,6,1,2.1400661634962708,-0.916290731874155,60.0,-1.4696759700589417
9.9,-2.5902671654458267,0.32,0.9956,2.4159137783010487,47.0,3.19,6,0,0.6418538861723947,-0.5447271754416722,186.0,-1.2729656758128873
9.9,-2.8473122684357177,0.32,0.9956,1.9740810260220096,47.0,3.19,6,0,2.1400661634962708,-0.916290731874155,186.0,-1.4696759700589417
9.4,-2.577021938695806,0.0,0.9978,2.0014800002101243,11.0,3.51,5,1,0.6418538861723947,-0.579818495252942,34.0,-0.35667494393873245
9.4,-2.8473122684357177,0.0,0.9978,1.9740810260220096,11.0,3.51,5,1,2.1400661634962708,-0.916290731874155,34.0,-1.4696759700589417
9.9,-2.577021938695806,0.32,0.9956,2.0014800002101243,47.0,3.19,6,0,0.6418538861723947,-0.579818495252942,186.0,-0.35667494393873245
9.9,-2.8473122684357177,0.32,0.9956,1.9740810260220096,47.0,3.19,6,0,2.1400661634962708,-0.916290731874155,186.0,-1.4696759700589417
9.4,-2.5902671654458267,0.0,0.9978,2.0014800002101243,13.0,3.51,5,1,0.5877866649021191,-0.579818495252942,40.0,-0.4155154439616658
9.4,-2.995732273553991,0.0,0.9978,2.0918640616783932,13.0,3.51,5,1,1.9315214116032138,-0.8209805520698302,40.0,-1.2729656758128873
10.1,-2.5902671654458267,0.4,0.9951,2.0014800002101243,30.0,3.26,6,0,0.5877866649021191,-0.579818495252942,97.0,-0.4155154439616658
10.1,-2.995732273553991,0.4,0.9951,2.0918640616783932,30.0,3.26,6,0,1.9315214116032138,-0.8209805520698302,97.0,-1.2729656758128873
9.4,-2.6736487743848776,0.06,0.9964,2.066862759472976,15.0,3.3,5,1,0.47000362924573563,-0.7765287894989963,59.0,-0.5108256237659907
